object_id,frame,x,y,w,h,area,solidity,eccentricity,focus_score,quality_score,cluster
218,RCNHSha_20250510_020947_IMG4,1998,1907,49,35,1305,0.9797,0.7219,24.188,0.3703,6
219,RCNHSha_20250510_020947_IMG4,1245,2082,71,67,2531,0.787,0.6438,51.7329,0.3891,49
220,RCNHSha_20250510_020947_IMG4,2009,2122,78,70,2197,0.7156,0.8186,32.5933,0.3352,49
221,RCNHSha_20250510_020947_IMG4,2113,2173,60,34,1479,0.8937,0.837,20.667,0.3479,10
222,RCNHSha_20250510_020947_IMG4,1495,2266,45,51,1488,0.9454,0.645,13.0274,0.3562,14
223,RCNHSha_20250510_020947_IMG4,3128,2363,54,36,1202,0.8555,0.814,7.7796,0.3125,2
224,RCNHSha_20250510_020947_IMG4,1796,2422,41,47,1204,0.9319,0.6595,24.3349,0.3521,14
225,RCNHSha_20250510_020947_IMG4,1076,2457,31,85,1560,0.7967,0.9535,11.8708,0.3133,7
226,RCNHSha_20250510_020947_IMG4,2169,2493,53,55,1763,0.8846,0.6435,18.8989,0.3548,49
227,RCNHSha_20250510_020947_IMG4,1988,2528,55,49,1626,0.9514,0.8343,23.86,0.3743,10
228,RCNHSha_20250510_020947_IMG4,2630,2646,57,45,1693,0.9592,0.8095,9.453,0.3649,2
229,RCNHSha_20250510_021001_IMG5,2642,413,56,64,1875,0.8044,0.7485,23.7082,0.34,49
230,RCNHSha_20250510_021001_IMG5,2626,474,35,99,1736,0.7457,0.9749,16.1621,0.3093,8
231,RCNHSha_20250510_021001_IMG5,1887,838,86,55,2065,0.7057,0.7008,16.9562,0.3113,2
232,RCNHSha_20250510_021001_IMG5,1470,942,54,46,1790,0.966,0.6651,11.0084,0.3724,3
233,RCNHSha_20250510_021001_IMG5,2300,993,47,62,1219,0.6958,0.8885,19.645,0.2771,7
234,RCNHSha_20250510_021001_IMG5,1489,1038,46,54,1807,0.9526,0.5904,11.4623,0.3695,7
235,RCNHSha_20250510_021001_IMG5,2644,1293,66,101,3518,0.8028,0.8428,15.0498,0.3966,7
236,RCNHSha_20250510_021001_IMG5,2955,1318,49,52,1418,0.8527,0.771,19.9403,0.3325,49
237,RCNHSha_20250510_021001_IMG5,3289,1465,51,50,1593,0.8806,0.6764,12.8464,0.3407,3
238,RCNHSha_20250510_021001_IMG5,2191,1466,67,67,2601,0.9044,0.7381,15.139,0.3905,5
239,RCNHSha_20250510_021001_IMG5,1369,1497,54,38,1420,0.805,0.7695,31.9153,0.3302,36
240,RCNHSha_20250510_021001_IMG5,2986,1570,69,62,2011,0.7626,0.7866,15.927,0.3251,32
241,RCNHSha_20250510_021001_IMG5,960,1615,65,56,2503,0.9495,0.7279,12.1945,0.3972,6
242,RCNHSha_20250510_021001_IMG5,1114,1622,38,49,1429,0.9708,0.6458,10.3291,0.3587,7
243,RCNHSha_20250510_021001_IMG5,1551,1740,36,54,1370,0.9675,0.7699,10.549,0.3556,7
244,RCNHSha_20250510_021001_IMG5,2947,1811,64,98,2673,0.7287,0.911,12.481,0.338,49
245,RCNHSha_20250510_021001_IMG5,2582,1889,43,68,2037,0.959,0.7931,11.5184,0.3807,7
246,RCNHSha_20250510_021001_IMG5,1371,2213,56,56,2223,0.9141,0.6557,13.3183,0.3765,13
247,RCNHSha_20250510_023900_IMG1,2627,470,43,102,2185,0.7044,0.9541,11.8348,0.3106,8
248,RCNHSha_20250510_023900_IMG1,1723,620,74,142,5140,0.7713,0.9276,11.8098,0.4432,8
249,RCNHSha_20250510_023900_IMG1,1469,1059,47,61,1610,0.8399,0.8376,11.1024,0.3275,7
